par,val
seed,123
tau,0.2
ndays,29
nsteps,2900
delta,0.192307692
gamma,0.071428571
epsilon,0.333333
frac_asymp,0.306
time_intervention_start,15
time_intervention_stop,24
rate_isol,0.23255814
rel_rate_isol_asymp,0.5
max_rate_isol,0.5
R01,2
R02,1.4
final_R01,0.1
final_R02,0.1
pop_high,9334
pop_low,2431523
I01,10
