date,time,ct,doubling,var,days
2020-02-19,2,11,0,Total,7
2020-02-20,3,34,0,Total,7
2020-02-21,4,79,0,Total,7
2020-02-22,5,149,0,Total,7
2020-02-23,6,297,0,Total,7
2020-02-24,7,442,0,Total,7
2020-02-25,8,499,0.780997569963058,Total,7
2020-02-26,9,677,1.17774128102729,Total,7
2020-02-27,10,1017,1.42780183679394,Total,7
2020-02-28,11,1314,1.72585153491298,Total,7
2020-02-29,12,2055,1.84903712910414,Total,7
2020-03-01,13,2576,2.24603896462827,Total,7
2020-03-02,14,3088,2.49594010571681,Total,7
2020-03-03,15,3608,2.452622672147,Total,7
2020-03-04,16,4013,2.72643700294294,Total,7
2020-03-05,17,4443,3.29068842119322,Total,7
2020-03-06,18,4827,3.72903440080317,Total,7
2020-03-07,19,5217,5.20801542948904,Total,7
2020-03-08,20,5514,6.37542119121346,Total,7
